"ID","AUTHOR","DATE","TIME(GMT)","TWEET","HASHTAGS"
"-8650245676855912259","SurChesterfield","02/15/2013","02:28:38","Everybody check out my promo visualization Texhnolyze [Inhumane &amp; Beautiful] Promo: http://t.co/UI6lwQIj via @youtube",""
"2072728998681736398","jeffcdi","02/15/2013","02:28:12","RT @albertocairo: Post of the week: @SimoleonSense interviews @nytgraphics's @amandacox http://t.co/Ar4HOYYF Read/Hear now #dataviz #infographics #iidviz","dataviz, infographics, iidviz"
"-3336142685518916432","jeffcdi","02/15/2013","02:27:54","RT @albertocairo: ""I just want (to create) one chart that means something to the world"" http://t.co/Ar4HOYYF @amandacox interviewed by @SimoleonSense",""
"-7533394691140323455","_kFh_","02/15/2013","02:27:34","RT @albertocairo: ""Distributions are more interesting than averages"" http://t.co/Ar4HOYYF @amandacox interviewed by @SimoleonSense #dataviz #infographics","dataviz, infographics"
"3622547350541965030","jeffcdi","02/15/2013","02:27:32","RT @albertocairo: ""(Visualization is) a field that could use more awesome work and fewer critics"" http://t.co/Ar4HOYYF says @amandacox #dataviz #iidviz","dataviz, iidviz"
"3095225297799291232","SimoleonSense","02/15/2013","02:26:18","RT @albertocairo: ""Distributions are more interesting than averages"" http://t.co/Ar4HOYYF @amandacox interviewed by @SimoleonSense #dataviz #infographics","dataviz, infographics"
"3622315377181047816","albertocairo","02/15/2013","02:26:09","""(Visualization is) a field that could use more awesome work and fewer critics"" http://t.co/Ar4HOYYF says @amandacox #dataviz #iidviz","dataviz, iidviz"
"7456570916009205706","DamnedJoseph","02/15/2013","02:24:45","I just had a drunken visualization that after my dad dies I will occasionally hear the clicking of folding glasses",""
"6921079517339568986","greglinch","02/15/2013","02:23:50","RT @albertocairo: Post of the week: @SimoleonSense interviews @nytgraphics's @amandacox http://t.co/Ar4HOYYF Read/Hear now #dataviz #infographics #iidviz","dataviz, infographics, iidviz"
"-7126410735461334846","albertocairo","02/15/2013","02:23:30","""I just want (to create) one chart that means something to the world"" http://t.co/Ar4HOYYF @amandacox interviewed by @SimoleonSense",""
"-2320778566150310931","albertocairo","02/15/2013","02:22:06","""Distributions are more interesting than averages"" http://t.co/Ar4HOYYF @amandacox interviewed by @SimoleonSense #dataviz #infographics","dataviz, infographics"
"5708677938182048209","zentree","02/15/2013","02:20:51","Danger of death!  Chart depicting the odds of dying in a given year under selected circumstances. http://t.co/4n63PAt2 #visualization","visualization"
"6261374351927038655","michelleminkoff","02/15/2013","02:20:09","Really love this interview with @amandacox (via @albertocairo) http://t.co/56FgXeJk || Nice shoutouts to @golan and the non-journo viz com",""
"7459745349960890754","czuegner","02/15/2013","02:19:57","RT @albertocairo: Seriously, read @SimoleonSense's interview with @amandacox http://t.co/Ar4HOYYF … Full of great insights #dataviz #infographics #iidviz","dataviz, infographics, iidviz"
"-1253372858343649526","mfazackerley","02/15/2013","02:19:10","RT @microstrategy: Read on @InformationWeek: ""MicroStrategy Doubles Down On Mobile, Data Visualization"" by Cindi Howson of @BIScorecard. http://t.co/3rp82iyY",""
"4801707719436627677","albertocairo","02/15/2013","02:14:57","Seriously, read @SimoleonSense's interview with @amandacox http://t.co/Ar4HOYYF … Full of great insights #dataviz #infographics #iidviz","dataviz, infographics, iidviz"
"-2563026072272663368","MSTR_ANZ","02/15/2013","02:13:17","RT @microstrategy: Read on @InformationWeek: ""MicroStrategy Doubles Down On Mobile, Data Visualization"" by Cindi Howson of @BIScorecard. http://t.co/3rp82iyY",""
"3406974112457482328","albertocairo","02/15/2013","02:11:22","Post of the week: @SimoleonSense interviews @nytgraphics's @amandacox http://t.co/Ar4HOYYF Read/Hear now #dataviz #infographics #iidviz","dataviz, infographics, iidviz"
"-7550370982629408823","aguimars","02/15/2013","02:10:47","RT @AnnTran_: World Tweets Light Up the Globe, Stunning Visualization http://t.co/G1ps3EP6 ll RT  @DrAnneEllis @Leslee_KGH @russellfaust @SteveAkinsSEO",""
"-802430040525392926","CauseRelated","02/15/2013","02:10:44","Powerpoint data visualization makes the complex clear http://t.co/SM2LB5nx",""
"-3910920953612247795","jonharrop","02/15/2013","02:09:13","Awesome World Bank visualization by Google https://t.co/txcwl8mi",""
"-15191650303179256","shellywrites","02/15/2013","02:08:17","Visualization as an aid to weight loss http://t.co/FJ6oRvY2",""
"-5788745055480003822","SimoleonSense","02/15/2013","02:07:56","My conversation with Amanda Cox, Graphics Editor @ NYT http://t.co/7iweeOjI",""
"8897870926084028089","robbyntweetz","02/15/2013","02:07:05","RT @ExposureGuide: 2012 International Science &amp; Engineering Visualization Challenge Winners http://t.co/KMuJ5U7M #photography #news #photog #dslr","photography, news, photog, dslr"
