Year,ID Type,Primary Concentration,Secondary Concentration,Language,Secondary Languages,Programming Experience,Coding Frequency,Programming Comfort,Design Comfort,Computer Types,Operating Systems 1,Operating Systems 2,Operating Systems 3,Operating Systems 4,Gender,Age,State,Country,Combined Address
2009,,Computer Science,Biology,C++,C++,Over 3 years,Less than Once per Month,3,,"Desktop, Laptop",Mac OS,,,,Male,Over 65,,China,
2009,,Information Technology,Software engineering,SQL,Java,Less than 6 months,Weekly,2,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,25 to 44,VA,USA,
2009,,Information Management Systems,,Python,I've used most of these,Over 3 years,Two or more times per Month,4,,"Desktop, Laptop",Mostly Mac.  Also Free/OpenBSD, linux, XP,,Male,25 to 44,NH,USA,
2009,,Computer Science,,PHP,C,Less than 6 months,Weekly,2,,Laptop,Mac OS,,,,Female,18 to 24,CT,USA,
2009,,Human Evolutionary Biology,,C,PHP,6 months to 1 year,Weekly,4,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,18 to 24,CT,USA,
2009,,Computer Science,Economics,C,"C, C++, JavaScript, HTML/CSS, PHP, SQL",1 to 3 years,Two or more times per Month,4,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,18 to 24,OH,USA,
2009,,Economics,Computer Science,PHP,C,Over 3 years,Two or more times per Month,5,,Laptop,Windows Vista, Linux / Unix,,,Male,18 to 24,TX,USA,
2009,,Electrical Engineering & Computer Science,,C++,PHP,1 to 3 years,Weekly,4,,"Desktop, Laptop",Windows XP, Windows Vista, Linux,,Male,18 to 24,CA,USA,
2009,,Computer Science,,Java,JavaScript,Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,25 to 44,MA,USA,
2009,,Computer Science,,C,HTML / CSS,6 months to 1 year,Weekly,3,,Laptop,Mac OS,,,,Female,18 to 24,KT,USA,
2009,,Software Engineering,,C#,"C, C++, Java, JavaScript, HTML / CSS, Python, Ruby, SQL",Over 3 years,Daily,4,,"Desktop, Laptop",Windows XP, Linux / Unix,,,Male,25 to 44,MA,USA,
2009,,Computer Science,Mandarin Chinese (language citation),Python,"C, C++, Java, HTML / CSS, LISP, Python, SQL",Over 3 years,Weekly,5,,Laptop,Mac OS,,,,Male,18 to 24,NY,USA,
2009,,Information Management Systems,,Ruby,"C, C++, C#, Java, JavaScript, HTML / CSS, Perl, PHP, Ruby, SQL",Over 3 years,Daily,5,,Laptop,Mac OS,,,,Male,18 to 24,ON,Canada,
2009,,Applied Mathematics,Computer Science,Ruby,"C, JavaScript, HTML / CSS, Ruby, SQL, VB / VBScript",Over 3 years,Weekly,4,,"Desktop, Laptop",Mac OS, Linux, Windows 7 beta,,Male,18 to 24,,Slovakia,
2009,,Molecular and Cellular Biology,Computer Science,PHP,"C, HTML / CSS, PHP, SQL",Over 3 years,Weekly,5,,Laptop,Windows XP,,,,Male,18 to 24,MA,USA,
2009,,Economics,Computer Science,C,"C, C++, C#, Java, HTML / CSS, PHP, SQL",1 to 3 years,Less than Once per Month,4,,Laptop,Windows XP,,,,Male,18 to 24,IN,USA,
2009,,Computer Science,,C,"Java, HTML / CSS, PHP, SQL",1 to 3 years,Weekly,3,,Desktop,Windows Vista,,,,Male,18 to 24,NJ,USA,
2009,,Psychology,Computer Science,PHP,"C, HTML / CSS, PHP, SQL",Less than 6 months,Less than Once per Month,3,,Desktop,Windows XP, Mac OS,,,Male,18 to 24,CA,USA,
